State,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,renewables_electricity,solar_electricity,wind_electricity
Australia,3.5,142.018,199.279,51.638,15.538,0,5.623,3.501,0.001,54.4,14.218,21.143
Brazil,54.514,24.782,89.076,56.701,393.898,15.224,7.593,54.514,0,511.053,6.655,55.986
Canada,10.865,48.266,113.727,61.212,377.979,94.854,4.249,11.037,0.172,423.82,4.272,30.532
China,111.758,4553.8,4934.742,232.5,1302.1,348.7,148.442,111.858,0.1,2043.258,224,405.3
Colombia,1.317,6.586,19.544,12.07,53.987,0,0.889,1.317,0,55.496,0.132,0.04
India,14.68,998.538,1046.627,47.98,161.741,45.163,0.108,15.063,0.383,286.385,46.273,63.308
Indonesia,11.232,167.833,233.472,48.926,20.949,0,16.712,26.132,14.9,47.663,0.098,0.005
Mexico,2.994,24.04,247.414,188.099,23.845,10.881,35.274,8.087,5.093,55.36,6.591,
Thailand,18.686,33.675,149.643,114.856,6.37,0,1.113,18.686,0,33.893,5.182,0.005
United Kingdom,33.968,6.941,145.006,131.276,5.858,57.176,6.788,33.977,0.009,117.333,12.97,64.527
United States,57.507,964.957,2595.032,1598.303,282.613,809.409,31.772,72.98,15.473,757.393,106.894,294.906
