electricity_generation,primary_energy_consumption
240.06,1582.242
237.356,1562.975
236.225,1574.716
234.693,1597.398
238.222,1621.386
243.12,1634.105
244.716,1630.82
247.827,1665.527
253.679,1780.442
523.12,3189.643
542.895,3246.742
559.372,3369.581
577.739,3444.854
568.688,3398.175
567.965,3310.703
577.962,3351.031
591.61,3370.645
615.353,3445.401
615.165,3779.21
615.806,3741.246
640.339,3856.056
636.321,3897.771
639.504,3887.128
645.838,3871.303
645.224,3919.304
637.221,3985.985
632.401,3948.352
4719.4,31261.361
4986.48,32512.623
5372.18,33715.209
5604.5,34499.453
5740,34826.942
6022.8,35264.122
6448.7,36342.177
6996.2,37714.113
7326.7,39360.925
59.918,413.383
61.105,442.367
72.142,448.483
69.286,472.832
76.395,475.565
74.737,501.923
77.681,510.889
78.252,514.546
75.04,534.511
903.829,6633.464
955.218,6975.954
1004.83,7243.602
1103.007,7739.36
1139.551,7991.9
1224.126,8352.07
1285.739,8704.049
1367.832,9250.506
1378.174,9460.984
173.609,1916.287
189.253,2019.013
204.478,2102.841
215.624,1969.884
221.306,1973.022
234.727,2027.665
241.326,2103.435
269.395,2284.826
281.135,2475.353
286.478,2127.791
290.897,2140.435
281.548,2149.532
286.083,2138.108
294.393,2135.641
302.9,2162.618
305.103,2193.152
317.93,2175.924
313.654,2144.652
147.304,1265.992
157.383,1353.231
160.712,1375.317
162.732,1413.11
166.699,1457.139
177.787,1488.844
172.312,1514.102
173.088,1555.568
183.536,1559.519
365.078,2347.197
360.912,2376.004
355.385,2364.442
335.217,2227.917
335.347,2252.941
334.82,2226.11
333.231,2219.816
328.244,2212.342
319.515,2177.825
4100.141,25580.121
4047.765,24913.288
4065.964,25582.098
4104.839,25848.401
4091.74,25596.966
4095.487,25560.52
4058.261,25647.389
4203.937,26556.388
4161.834,26291.355
